Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
 45.94      0.112     0.112     0.000     0.000       68   <Class::Thread>#start 
  8.53      0.165     0.021     0.000     0.144       68   Timeout#timeout 
  3.07      0.008     0.008     0.000     0.000       10   <Class::Nokogiri::XML::Document>#read_memory 
  1.75      0.008     0.004     0.000     0.003      448   Nokogiri::XML::Node#[] 
  1.07      0.003     0.003     0.000     0.001      140   HTTPClient::Session#parse_keepalive_header 
  0.89      0.095     0.002     0.000     0.093       14   HTTPClient::Session#read_body_length 
  0.80      0.016     0.002     0.000     0.014      112   UWDC::FileAsset#initialize 
  0.77      0.004     0.002     0.002     0.000       68   Thread#join 
  0.72      0.002     0.002     0.000     0.000      582   Nokogiri::XML::Document#decorate 
  0.70      0.003     0.002     0.000     0.001      196   HTTP::Message::Headers#add 
  0.59      0.001     0.001     0.000     0.000      146   String#split 
  0.57      0.140     0.001     0.000     0.139      244  *Array#each 
  0.57      0.006     0.001     0.000     0.005       59  *Mutex#synchronize 
  0.57      0.001     0.001     0.000     0.000      924   String#to_s 
  0.56      0.001     0.001     0.000     0.000      633   String#upcase 
  0.56      0.003     0.001     0.001     0.000      168   IO#gets 
  0.55      0.002     0.001     0.000     0.001      374   Nokogiri::XML::NodeSet#[] 
  0.54      0.004     0.001     0.000     0.003       84   HTTP::Message::Headers#get 
  0.52      0.001     0.001     0.000     0.000      448   Nokogiri::XML::Node#get 
  0.45      0.002     0.001     0.001     0.000       39   IO#readpartial 
  0.45      0.022     0.001     0.000     0.021      140  *Integer#upto 
  0.42      0.001     0.001     0.000     0.000      280   String#[] 
  0.40      0.001     0.001     0.000     0.000       28   Regexp#=~ 
  0.39      0.002     0.001     0.000     0.001       14   URI::Generic#initialize 
  0.39      0.001     0.001     0.000     0.000       28   Nokogiri::XML::XPathContext#evaluate 
  0.33      0.224     0.001     0.000     0.223      341  *Class#new 
  0.31      0.193     0.001     0.000     0.193       14   HTTPClient#do_get_block 
  0.31      0.002     0.001     0.000     0.002       28   Nokogiri::XML::Node#extract_params 
  0.31      0.001     0.001     0.000     0.000       28   HTTP::Message::Headers#initialize 
  0.31      0.001     0.001     0.000     0.000      344   Kernel#is_a? 
  0.30      0.001     0.001     0.000     0.001       14   OpenURI::Meta#content_type_parse 
  0.30      0.006     0.001     0.000     0.005      120   Enumerable#detect 
  0.29      0.005     0.001     0.000     0.005       14   HTTPClient::Session#set_header 
